2020-11-01 21:17:32.162 [main] INFO  com.yzy.FileScanClientApp - Starting FileScanClientApp on USER-20190128FA with PID 6624 (D:\workspace\myeclipse2018\yzy\file-scan-client\target\classes started by Administrator in D:\workspace\myeclipse2018\yzy)
2020-11-01 21:17:32.163 [main] INFO  com.yzy.FileScanClientApp - No active profile set, falling back to default profiles: default
2020-11-01 21:17:32.534 [main] INFO  com.yzy.FileScanClientApp - Started FileScanClientApp in 0.934 seconds (JVM running for 3.394)
2020-11-01 21:17:32.536 [main] INFO  com.yzy.service.FileScanService - workMode=0,进行定时扫描
2020-11-01 21:17:32.537 [Timer-0] INFO  com.yzy.service.FileScanService - 扫描开始时间：null
2020-11-01 21:17:32.542 [Timer-0] INFO  com.yzy.service.FileScanService - 扫描开始时间：2020-11-01T21:17:32.542
2020-11-01 21:18:35.389 [main] INFO  com.yzy.FileScanClientApp - Starting FileScanClientApp on USER-20190128FA with PID 6160 (D:\workspace\myeclipse2018\yzy\file-scan-client\target\classes started by Administrator in D:\workspace\myeclipse2018\yzy)
2020-11-01 21:18:35.391 [main] INFO  com.yzy.FileScanClientApp - No active profile set, falling back to default profiles: default
2020-11-01 21:18:35.811 [main] INFO  com.yzy.FileScanClientApp - Started FileScanClientApp in 0.903 seconds (JVM running for 1.698)
2020-11-01 21:18:35.813 [main] INFO  com.yzy.service.FileScanService - workMode=0,进行定时扫描
2020-11-01 21:18:35.814 [Timer-0] INFO  com.yzy.service.FileScanService - 扫描开始时间：null
2020-11-01 21:18:35.817 [Timer-0] INFO  com.yzy.service.FileScanService - 扫描开始时间：2020-11-01T21:18:35.817
